Title:               Effective Federal Funds Rate: 99th Percentile
Series ID:           EFFR99
Source:              Federal Reserve Bank of New York
Release:             Federal Funds Data (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2016-03-01 to 2017-01-12
Last Updated:        2017-01-13 8:16 AM CST
Notes:               The federal funds market consists of domestic unsecured borrowings in
                     U.S. dollars by depository institutions from other depository
                     institutions and certain other entities, primarily
                     government-sponsored enterprises.
                     
                     The effective federal funds rate (EFFR) is calculated as a
                     volume-weighted median of overnight federal funds transactions
                     reported in the FR 2420 Report of Selected Money Market Rates.
                     
                     For more information, see https://www.newyorkfed.org/markets/obfrinfo

DATE       VALUE
2016-06-06  0.54
2016-06-07  0.55
2016-06-08  0.54
2016-06-09  0.54
2016-06-10  0.52
2016-06-13  0.54
2016-06-14  0.55
2016-06-15  0.56
2016-06-16  0.56
2016-06-17  0.53
2016-06-20  0.56
2016-06-21  0.56
2016-06-22  0.56
2016-06-23  0.56
2016-06-24  0.56
2016-06-27  0.56
2016-06-28  0.56
2016-06-29  0.56
2016-06-30  0.56
2016-07-01  0.56
2016-07-04     .
2016-07-05  0.75
2016-07-06  0.55
2016-07-07  0.56
2016-07-08  0.55
2016-07-11  0.56
2016-07-12  0.56
2016-07-13  0.51
2016-07-14  0.56
2016-07-15  0.50
2016-07-18  0.55
2016-07-19  0.50
2016-07-20  0.50
2016-07-21  0.56
2016-07-22  0.55
2016-07-25  0.56
2016-07-26  0.56
2016-07-27  0.56
2016-07-28  0.56
2016-07-29  0.56
2016-08-01  0.53
2016-08-02  0.50
2016-08-03  0.50
2016-08-04  0.50
2016-08-05  0.51
2016-08-08  0.53
2016-08-09  0.50
2016-08-10  0.50
2016-08-11  0.50
2016-08-12  0.50
2016-08-15  0.50
2016-08-16  0.50
2016-08-17  0.50
2016-08-18  0.50
2016-08-19  0.53
2016-08-22  0.56
2016-08-23  0.53
2016-08-24  0.55
2016-08-25  0.55
2016-08-26  0.50
2016-08-29  0.53
2016-08-30  0.55
2016-08-31  0.50
2016-09-01  0.50
2016-09-02  0.50
2016-09-05     .
2016-09-06  0.50
2016-09-07  0.55
2016-09-08  0.50
2016-09-09  0.50
2016-09-12  0.55
2016-09-13  0.50
2016-09-14  0.50
2016-09-15  0.55
2016-09-16  0.50
2016-09-19  0.53
2016-09-20  0.53
2016-09-21  0.50
2016-09-22  0.53
2016-09-23  0.50
2016-09-26  0.50
2016-09-27  0.50
2016-09-28  0.50
2016-09-29  0.50
2016-09-30  0.50
2016-10-03  0.50
2016-10-04  0.50
2016-10-05  0.50
2016-10-06  0.50
2016-10-07  0.50
2016-10-10     .
2016-10-11  0.55
2016-10-12  0.50
2016-10-13  0.50
2016-10-14  0.50
2016-10-17  0.50
2016-10-18  0.50
2016-10-19  0.50
2016-10-20  0.50
2016-10-21  0.55
2016-10-24  0.55
2016-10-25  0.50
2016-10-26  0.50
2016-10-27  0.50
2016-10-28  0.50
2016-10-31  0.50
2016-11-01  0.50
2016-11-02  0.50
2016-11-03  0.50
2016-11-04  0.50
2016-11-07  0.50
2016-11-08  0.50
2016-11-09  0.50
2016-11-10  0.50
2016-11-11     .
2016-11-14  0.50
2016-11-15  0.50
2016-11-16  0.50
2016-11-17  0.50
2016-11-18  0.52
2016-11-21  0.56
2016-11-22  0.53
2016-11-23  0.50
2016-11-24     .
2016-11-25  0.50
2016-11-28  0.53
2016-11-29  0.50
2016-11-30  0.55
2016-12-01  0.50
2016-12-02  0.49
2016-12-05  0.50
2016-12-06  0.50
2016-12-07  0.50
2016-12-08  0.50
2016-12-09  0.50
2016-12-12  0.53
2016-12-13  0.50
2016-12-14  0.50
2016-12-15  0.75
2016-12-16  0.75
2016-12-19  0.80
2016-12-20  0.75
2016-12-21  0.78
2016-12-22  0.80
2016-12-23  0.80
2016-12-26     .
2016-12-27  0.80
2016-12-28  0.81
2016-12-29  0.80
2016-12-30  0.82
2017-01-02     .
2017-01-03  0.80
2017-01-04  0.75
2017-01-05  0.78
2017-01-06  0.80
2017-01-09  0.75
2017-01-10  0.80
2017-01-11  0.75
2017-01-12  0.75
